8.199999999999999289e+00,0.000000000000000000e+00
7.755701381945203643e+00,2.662535647478404321e+00
6.470952177050426357e+00,5.036544244055275676e+00
4.484974896603900696e+00,6.864765121752733457e+00
2.012980994554553593e+00,7.949082180702508715e+00
-6.771506328731244917e-01,8.171992842654692168e+00
-3.293902482154347666e+00,7.509341278571470824e+00
-5.553708887331074706e+00,6.032936067519679035e+00
-7.211684759893208785e+00,3.902768622904003948e+00
-8.088162687902322290e+00,1.349675640302018920e+00
-8.088162687902324066e+00,-1.349675640302016921e+00
-7.211684759893209673e+00,-3.902768622904002171e+00
-5.553708887331079147e+00,-6.032936067519675483e+00
-3.293902482154352551e+00,-7.509341278571469047e+00
-6.771506328731283775e-01,-8.171992842654692168e+00
2.012980994554550040e+00,-7.949082180702509604e+00
4.484974896603898031e+00,-6.864765121752735233e+00
6.470952177050424581e+00,-5.036544244055277453e+00
7.755701381945203643e+00,-2.662535647478406542e+00
