49.9511 2.2117
50.0000 0.0000
49.9511 -2.2117
50.0000 0.0000
49.5601 6.6177
48.7813 10.9719
47.6207 15.2403
46.0874 19.3894
44.1935 23.3867
41.9536 27.2010
39.3854 30.8024
36.5090 34.1628
33.3468 37.2558
29.9236 40.0572
26.2663 42.5451
22.4033 44.7000
18.3651 46.5051
14.1831 47.9462
9.8901 49.0121
5.5197 49.6944
1.1061 49.9878
-3.3161 49.8899
-7.7124 49.4016
-12.0484 48.5267
-16.2900 47.2719
-20.4042 45.6472
-24.3586 43.6653
-28.1225 41.3416
-31.6662 38.6943
-34.9621 35.7443
-37.9843 32.5144
-40.7093 29.0301
-43.1157 25.3187
-45.1847 21.4090
-46.9000 17.3318
-48.2482 13.1189
-49.2189 8.8034
-49.8043 4.4190
-50.0000 0.0000
-49.8043 -4.4190
-49.2189 -8.8034
-48.2482 -13.1189
-46.9000 -17.3318
-45.1847 -21.4090
-43.1157 -25.3187
-40.7093 -29.0301
-37.9843 -32.5144
-34.9621 -35.7443
-31.6662 -38.6943
-28.1225 -41.3416
-24.3586 -43.6653
-20.4042 -45.6472
-16.2900 -47.2719
-12.0484 -48.5267
-7.7124 -49.4016
-3.3161 -49.8899
1.1061 -49.9878
5.5197 -49.6944
9.8901 -49.0121
14.1831 -47.9462
18.3651 -46.5051
22.4033 -44.7000
26.2663 -42.5451
29.9236 -40.0572
33.3468 -37.2558
36.5090 -34.1628
39.3854 -30.8024
41.9536 -27.2010
44.1935 -23.3867
46.0874 -19.3894
47.6207 -15.2403
48.7813 -10.9719
49.5601 -6.6177
